lp__,treedepth__,stepsize__,alpha,beta,sigma_noise
0.99111,1,8.83221,-6.51753,-1.51942,3.5955
1.41654,2,8.83221,-2.77285,6.9005,6.8947
1.41654,1,8.83221,-2.77285,6.9005,6.8947
-0.00243513,2,8.83221,-15.368,9.44787,14.4756
0.86432,2,8.83221,12.5253,2.72795,13.5891
0.86432,2,8.83221,12.5253,2.72795,13.5891
0.86432,2,8.83221,12.5253,2.72795,13.5891
0.779399,2,8.83221,2.9007,7.49755,3.16665
0.987673,2,8.83221,-0.483165,-4.01937,3.05332
1.10421,2,8.83221,2.96026,-9.59953,14.6824
1.10421,1,8.83221,2.96026,-9.59953,14.6824
0.497627,2,8.83221,-2.32004,10.1732,2.96203
0.497627,2,8.83221,-2.32004,10.1732,2.96203
0.0867866,2,8.83221,15.3313,-1.1325,3.82514
-0.893371,2,8.83221,15.0905,17.1772,7.28604
1.03907,2,8.83221,-10.1379,-4.43553,14.1115
0.50439,1,8.83221,-15.7539,-1.87777,12.0527
-0.827907,2,8.83221,20.1247,10.0632,7.03516
1.5328,2,8.83221,-2.38778,6.75388,8.87393
1.5328,2,8.83221,-2.38778,6.75388,8.87393
1.23506,2,8.83221,4.8977,-9.29777,8.78788
1.23506,1,8.83221,4.8977,-9.29777,8.78788
0.681384,2,8.83221,2.95301,-6.82922,2.70401
-0.786341,1,8.83221,16.7747,-3.31391,2.00494
-0.281362,2,8.83221,-18.2184,-8.92123,8.41985
-0.281362,2,8.83221,-18.2184,-8.92123,8.41985
0.178546,2,8.83221,-10.5291,9.6922,18.5302
1.24737,2,8.83221,-1.51917,-2.64701,3.94178
1.24737,2,8.83221,-1.51917,-2.64701,3.94178
0.875877,2,8.83221,9.01443,10.1911,10.336
0.768443,2,8.83221,-10.1604,-8.12464,6.0273
1.29735,2,8.83221,3.39314,-6.33051,15.324
1.16025,2,8.83221,-1.84163,10.5872,7.56972
0.41852,2,8.83221,13.8302,7.91729,6.83286
0.691674,2,8.83221,-1.2056,-0.269974,2.05531
1.08466,2,8.83221,8.66278,-0.778904,4.85984
-1.20425,2,8.83221,5.98165,-15.8986,1.27976
-1.3072,1,8.83221,15.6613,-19.2465,11.8176
-0.721615,2,8.83221,-8.59713,-14.4169,2.02945
0.979373,2,8.83221,-8.702,-0.536304,4.26471
0.121564,2,8.83221,9.95686,12.3544,4.37614
0.121564,1,8.83221,9.95686,12.3544,4.37614
0.0611481,2,8.83221,18.65,0.658415,10.1276
0.29065,1,8.83221,17.2391,0.704083,11.571
-0.572742,2,8.83221,-19.3936,0.216792,4.00833
1.37046,2,8.83221,-5.57642,7.40711,9.52233
1.37046,2,8.83221,-5.57642,7.40711,9.52233
1.65458,2,8.83221,5.22973,0.495561,9.01612
1.65458,2,8.83221,5.22973,0.495561,9.01612
1.65458,0,8.83221,5.22973,0.495561,9.01612
1.17072,2,8.83221,9.99301,5.09061,9.45765
1.17072,2,8.83221,9.99301,5.09061,9.45765
-0.344303,1,8.83221,13.5384,15.6511,10.7616
-0.344303,1,8.83221,13.5384,15.6511,10.7616
0.564983,2,8.83221,-12.9048,-8.9086,9.11288
0.170999,2,8.83221,0.505545,-12.5376,2.70418
-0.174516,2,8.83221,16.6188,7.63439,15.946
-0.513984,2,8.83221,-20.2785,-7.20988,10.2383
1.14308,1,8.83221,-6.77602,-8.18502,7.094
